exp_group,date,inflation_mom
"Recreation, sports and culture",2020-12-01,-0.01
Education,2020-12-01,0
Food and beverage services or restaurants,2020-12-01,0.27
Personal care and other services,2020-12-01,-0.29
"Food, beverage and tobacco",2021-01-01,0.81
Clothing and footwear,2021-01-01,0.11
"Housing, water, electricity and household fuels",2021-01-01,0.03
"Household equipment, tools and routine maintenance",2021-01-01,0.15
Healthcare,2021-01-01,0.19
Transportation,2021-01-01,-0.3
"Information, communication and financial services",2021-01-01,0.04
"Recreation, sports and culture",2021-01-01,0.05
Education,2021-01-01,0.04
Food and beverage services or restaurants,2021-01-01,0.33
Personal care and other services,2021-01-01,0.23
"Food, beverage and tobacco",2021-02-01,0.07
Clothing and footwear,2021-02-01,0.06
"Housing, water, electricity and household fuels",2021-02-01,0.04
"Household equipment, tools and routine maintenance",2021-02-01,0.36
Healthcare,2021-02-01,0.19
Transportation,2021-02-01,0.3
"Information, communication and financial services",2021-02-01,-0.03
"Recreation, sports and culture",2021-02-01,0.06
Education,2021-02-01,0
Food and beverage services or restaurants,2021-02-01,0.28
Personal care and other services,2021-02-01,-0.14
"Food, beverage and tobacco",2021-03-01,0.4
Clothing and footwear,2021-03-01,0.02
"Housing, water, electricity and household fuels",2021-03-01,0.04
"Household equipment, tools and routine maintenance",2021-03-01,0.1
Healthcare,2021-03-01,0.08
Transportation,2021-03-01,-0.25
"Information, communication and financial services",2021-03-01,-0.03
"Recreation, sports and culture",2021-03-01,0.05
Education,2021-03-01,0.01
Food and beverage services or restaurants,2021-03-01,0.17
Personal care and other services,2021-03-01,-0.39
"Food, beverage and tobacco",2021-04-01,0.2
Clothing and footwear,2021-04-01,0.19
"Housing, water, electricity and household fuels",2021-04-01,0.07
"Household equipment, tools and routine maintenance",2021-04-01,0.26
Healthcare,2021-04-01,0.18
Transportation,2021-04-01,0
"Information, communication and financial services",2021-04-01,0
"Recreation, sports and culture",2021-04-01,0.2
Education,2021-04-01,0.01
Food and beverage services or restaurants,2021-04-01,0.21
Personal care and other services,2021-04-01,0.29
"Food, beverage and tobacco",2021-05-01,0.38
Clothing and footwear,2021-05-01,0.52
"Housing, water, electricity and household fuels",2021-05-01,0.03
"Household equipment, tools and routine maintenance",2021-05-01,0.27
Healthcare,2021-05-01,0.07
Transportation,2021-05-01,0.71
"Information, communication and financial services",2021-05-01,0.01
"Recreation, sports and culture",2021-05-01,0.12
Education,2021-05-01,0.01
Food and beverage services or restaurants,2021-05-01,0.44
Personal care and other services,2021-05-01,0.59
